Year,Category,Amount,Unit,Factor,Factor_Unit
2022,제품 수출 (선박),127634873984.1783,ton.km,0.00753259482269716,kgCO2/ton.km
2022,제품 수출 (Truck),7585764.588548999,ton.km,0.173421052033738,kgCO2/ton.km
