Year,Material,Total_Waste,Unit,Conversion,Unit2,Ratio_Recycle,Ratio_Incineration,Ratio_Landfill,Factor_Recycle,Factor_Incineration,Factor_Landfill,Factor_Unit
2022,傍沥坷聪,1534.6,ton,1000,kg/ton,0.419,0.019471343223062418,0.5615286567769375,0.10447955874000073,0.0781369716245442,0.438150319047304,kgCO2/kg
2022,弊观狼企魂,20.3,ton,1000,kg/ton,1.0,0.0,0.0,0.10447955874000073,1.799,0.177536383002218,kgCO2/kg
2022,弊观狼企蜡,1052.45,ton,1000,kg/ton,0.384327062993595,0.005390325115466587,0.6102826118909384,0.10447955874000073,1.799,0.177536383002218,kgCO2/kg
2022,陛加己企盟概,4781.32,ton,1000,kg/ton,0.9934209345554772,8.317402584731736e-07,0.006578233704264329,0.10447955874000073,0.0781369716245442,0.438150319047304,kgCO2/kg
2022,悼侥拱己儡犁拱,1.09,ton,1000,kg/ton,0.959364478682376,0.03701251470985409,0.0036230066077699756,0.0111671090092395,1.18168730881208,0.455146348309567,kgCO2/kg
2022,函拘扁,17.12,ton,1000,kg/ton,1.0,0.0,0.0,0.0038,0.512086768924575,0.01222113967848,kgCO2/kg
2022,焊柯犁,305.75,ton,1000,kg/ton,0.18644361822109226,0.0,0.8135563817789078,0.0178,1.18168730881208,0.455146348309567,kgCO2/kg
2022,厚陛加己企盟概,76.98,ton,1000,kg/ton,0.9934209345554772,8.317402584731736e-07,0.006578233704264329,0.10447955874000073,1.799,0.177536383002218,kgCO2/kg
2022,积劝企扁拱,262.44,ton,1000,kg/ton,0.7758517136085842,0.13154621159742427,0.09260207479399153,0.0186,1.18168730881208,0.455146348309567,kgCO2/kg
2022,澜侥拱企扁拱,339.46,ton,1000,kg/ton,1.0,0.0,0.0,0.0111671090092395,1.18168730881208,0.455146348309567,kgCO2/kg
2022,老馆盒柳,7.95,ton,1000,kg/ton,0.9511769857422643,0.0,0.0488230142577356,0.0038,0.512086768924575,0.01222113967848,kgCO2/kg
2022,老馆企盟概,6842.45,ton,1000,kg/ton,0.9934209345554772,8.317402584731736e-07,0.006578233704264329,0.10447955874000073,0.0781369716245442,0.438150319047304,kgCO2/kg
2022,沥荐贸府坷聪,993.06,ton,1000,kg/ton,1.0,0.0,0.0,0.10447955874000073,0.0781369716245442,0.438150319047304,kgCO2/kg
2022,企堡拱蜡,23.88,ton,1000,kg/ton,1.0,0.0,0.0,0.10447955874000073,1.799,0.177536383002218,kgCO2/kg
2022,企陛加幅,205.1,ton,1000,kg/ton,0.9979005634015501,0.0,0.002099436598449895,0.0038,0.512086768924575,0.01222113967848,kgCO2/kg
2022,企郴拳拱,217.38,ton,1000,kg/ton,0.18644361822109226,0.0,0.8135563817789078,0.10447955874000073,1.799,0.177536383002218,kgCO2/kg
2022,企格犁,541.26,ton,1000,kg/ton,0.9890963698093498,0.0109036301906503,0.0,0.0136,0.715660620881493,2.11946899678916,kgCO2/kg
2022,企荤,1760.56,ton,1000,kg/ton,0.609,0.0,0.391,0.0038,0.512086768924575,0.01222113967848,kgCO2/kg
2022,企荐贸府坷聪,751.98,ton,1000,kg/ton,1.0,0.0,0.0,0.10447955874000073,1.799,0.177536383002218,kgCO2/kg
2022,企蜡绊惑,2406.99,ton,1000,kg/ton,0.384327062993595,0.005390325115466587,0.6102826118909384,0.10447955874000073,1.799,0.177536383002218,kgCO2/kg
2022,企蜡扁侩力,1420.96,ton,1000,kg/ton,1.0,0.0,0.0,0.10447955874000073,1.799,0.177536383002218,kgCO2/kg
2022,企辣劝蜡,68.22,ton,1000,kg/ton,0.384327062993595,0.005390325115466587,0.6102826118909384,0.10447955874000073,1.799,0.177536383002218,kgCO2/kg
2022,企傈扁傈磊力前,10.63,ton,1000,kg/ton,1.0,0.0,0.0,0.0038,0.512086768924575,0.01222113967848,kgCO2/kg
2022,企傈急,73.39,ton,1000,kg/ton,1.0,0.0,0.0,0.0038,0.512086768924575,0.01222113967848,kgCO2/kg
2022,企例楷蜡,10.16,ton,1000,kg/ton,0.384327062993595,0.005390325115466587,0.6102826118909384,0.10447955874000073,1.799,0.177536383002218,kgCO2/kg
2022,企能农府飘,213.53,ton,1000,kg/ton,0.977753414336583,0.00044213654758216015,0.021804449115834745,0.0138,1.799,0.012153842885071584,kgCO2/kg
2022,企钦己荐瘤,1422.76,ton,1000,kg/ton,0.9522477438218673,0.04775225617813264,1.1102230246251565e-16,0.0186,3.41255403906606,0.0132035389823726,kgCO2/kg
2022,企劝己藕,71.38,ton,1000,kg/ton,0.9890963698093498,0.0109036301906503,0.0,0.0136,0.715660620881493,2.11946899678916,kgCO2/kg
2022,企软馒力,1727.6599999999999,ton,1000,kg/ton,0.13482019797017922,0.4067159503821577,0.45846385164766323,0.0186,3.41255403906606,0.0132035389823726,kgCO2/kg
2022,扁鸥,102.5,ton,1000,kg/ton,0.6173803195459365,0.07802864822608636,0.30459103222797707,0.10447955874000073,1.799,0.177536383002218,kgCO2/kg
2022,企荐,10502122.73,ton,1,-,1.0,0.0,0.0,1.17374342823041,0.0,0.0,kgCO2/m3
